#wavelength = 0.35439
#qmax = 15.0
#qmin = 0.0
#Qdamp = 0.04373
#Lorch = off
#Q, intensity(inelacstic), <f^2>, <f>^2
#
9.9000e+00,1.4532e-01,1.4960e-01,6.4178e-02
9.9500e+00,1.4399e-01,1.4818e-01,6.3543e-02
1.0000e+01,1.4269e-01,1.4678e-01,6.2917e-02
1.0050e+01,1.4142e-01,1.4540e-01,6.2301e-02
1.0100e+01,1.4015e-01,1.4405e-01,6.1694e-02
1.0150e+01,1.3894e-01,1.4271e-01,6.1095e-02
1.0200e+01,1.3769e-01,1.4138e-01,6.0506e-02
1.0250e+01,1.3651e-01,1.4008e-01,5.9924e-02
1.0300e+01,1.3530e-01,1.3880e-01,5.9351e-02
1.0350e+01,1.3411e-01,1.3753e-01,5.8786e-02
1.0400e+01,1.3291e-01,1.3628e-01,5.8230e-02
1.0450e+01,1.3166e-01,1.3505e-01,5.7681e-02
1.0500e+01,1.3043e-01,1.3384e-01,5.7140e-02
1.0550e+01,1.2917e-01,1.3264e-01,5.6606e-02
1.0600e+01,1.2793e-01,1.3146e-01,5.6081e-02
1.0650e+01,1.2670e-01,1.3030e-01,5.5562e-02
1.0700e+01,1.2548e-01,1.2915e-01,5.5051e-02
1.0750e+01,1.2429e-01,1.2802e-01,5.4547e-02
1.0800e+01,1.2313e-01,1.2690e-01,5.4050e-02
1.0850e+01,1.2199e-01,1.2580e-01,5.3559e-02
1.0900e+01,1.2085e-01,1.2472e-01,5.3076e-02
1.0950e+01,1.1974e-01,1.2364e-01,5.2599e-02
1.1000e+01,1.1866e-01,1.2259e-01,5.2128e-02
1.1050e+01,1.1760e-01,1.2154e-01,5.1664e-02
1.1100e+01,1.1658e-01,1.2051e-01,5.1207e-02
1.1150e+01,1.1563e-01,1.1950e-01,5.0755e-02
1.1200e+01,1.1470e-01,1.1850e-01,5.0310e-02
1.1250e+01,1.1380e-01,1.1751e-01,4.9870e-02
1.1300e+01,1.1297e-01,1.1653e-01,4.9437e-02
1.1350e+01,1.1220e-01,1.1557e-01,4.9009e-02
1.1400e+01,1.1147e-01,1.1462e-01,4.8587e-02
1.1450e+01,1.1077e-01,1.1368e-01,4.8170e-02
1.1500e+01,1.1015e-01,1.1275e-01,4.7759e-02
1.1550e+01,1.0960e-01,1.1184e-01,4.7353e-02
1.1600e+01,1.0909e-01,1.1094e-01,4.6952e-02
1.1650e+01,1.0858e-01,1.1005e-01,4.6557e-02
1.1700e+01,1.0813e-01,1.0917e-01,4.6166e-02
1.1750e+01,1.0775e-01,1.0830e-01,4.5781e-02
1.1800e+01,1.0740e-01,1.0744e-01,4.5401e-02
1.1850e+01,1.0708e-01,1.0659e-01,4.5025e-02
1.1900e+01,1.0676e-01,1.0575e-01,4.4654e-02
1.1950e+01,1.0648e-01,1.0493e-01,4.4288e-02
1.2000e+01,1.0663e-01,1.0411e-01,4.3926e-02
1.2050e+01,1.0648e-01,1.0330e-01,4.3569e-02
1.2100e+01,1.0594e-01,1.0250e-01,4.3217e-02
1.2150e+01,1.0536e-01,1.0171e-01,4.2868e-02
1.2200e+01,1.0482e-01,1.0094e-01,4.2524e-02
1.2250e+01,1.0434e-01,1.0017e-01,4.2184e-02
1.2300e+01,1.0380e-01,9.9405e-02,4.1848e-02
1.2350e+01,1.0319e-01,9.8652e-02,4.1517e-02
1.2400e+01,1.0252e-01,9.7909e-02,4.1189e-02
1.2450e+01,1.0177e-01,9.7174e-02,4.0865e-02
1.2500e+01,1.0102e-01,9.6447e-02,4.0545e-02
1.2550e+01,1.0026e-01,9.5728e-02,4.0229e-02
1.2600e+01,9.9470e-02,9.5018e-02,3.9917e-02
1.2650e+01,9.8607e-02,9.4315e-02,3.9608e-02
1.2700e+01,9.7699e-02,9.3620e-02,3.9303e-02
1.2750e+01,9.6763e-02,9.2932e-02,3.9001e-02
1.2800e+01,9.5880e-02,9.2252e-02,3.8703e-02
1.2850e+01,9.4830e-02,9.1579e-02,3.8408e-02
1.2900e+01,9.3774e-02,9.0913e-02,3.8117e-02
1.2950e+01,9.2757e-02,9.0255e-02,3.7829e-02
1.3000e+01,9.1757e-02,8.9603e-02,3.7544e-02
1.3050e+01,9.0789e-02,8.8958e-02,3.7262e-02
1.3100e+01,8.9891e-02,8.8319e-02,3.6984e-02
1.3150e+01,8.9058e-02,8.7687e-02,3.6708e-02
1.3200e+01,8.8190e-02,8.7062e-02,3.6436e-02
1.3250e+01,8.7347e-02,8.6442e-02,3.6166e-02
1.3300e+01,8.6489e-02,8.5829e-02,3.5900e-02
1.3350e+01,8.5641e-02,8.5222e-02,3.5636e-02
1.3400e+01,8.4809e-02,8.4621e-02,3.5376e-02
1.3450e+01,8.3981e-02,8.4026e-02,3.5118e-02
1.3500e+01,8.3165e-02,8.3436e-02,3.4863e-02
1.3550e+01,8.2421e-02,8.2852e-02,3.4610e-02
1.3600e+01,8.1674e-02,8.2274e-02,3.4361e-02
1.3650e+01,8.0814e-02,8.1701e-02,3.4113e-02
1.3700e+01,8.0164e-02,8.1133e-02,3.3869e-02
1.3750e+01,7.9569e-02,8.0571e-02,3.3627e-02
1.3800e+01,7.8975e-02,8.0014e-02,3.3387e-02
1.3850e+01,7.8396e-02,7.9461e-02,3.3150e-02
1.3900e+01,7.7808e-02,7.8914e-02,3.2916e-02
1.3950e+01,7.7258e-02,7.8372e-02,3.2684e-02
1.4000e+01,7.6738e-02,7.7834e-02,3.2454e-02
1.4050e+01,7.6271e-02,7.7301e-02,3.2226e-02
1.4100e+01,7.5812e-02,7.6773e-02,3.2001e-02
1.4150e+01,7.5403e-02,7.6250e-02,3.1778e-02
1.4200e+01,7.4993e-02,7.5730e-02,3.1557e-02
1.4250e+01,7.4589e-02,7.5216e-02,3.1338e-02
1.4300e+01,7.4183e-02,7.4705e-02,3.1122e-02
1.4350e+01,7.3793e-02,7.4199e-02,3.0907e-02
1.4400e+01,7.3378e-02,7.3697e-02,3.0695e-02
1.4450e+01,7.2991e-02,7.3200e-02,3.0485e-02
1.4500e+01,7.2540e-02,7.2706e-02,3.0276e-02
1.4550e+01,7.2230e-02,7.2216e-02,3.0070e-02
1.4600e+01,7.1858e-02,7.1730e-02,2.9866e-02
1.4650e+01,7.1475e-02,7.1249e-02,2.9663e-02
1.4700e+01,7.1018e-02,7.0770e-02,2.9463e-02
1.4750e+01,7.0739e-02,7.0296e-02,2.9264e-02
1.4800e+01,7.0376e-02,6.9826e-02,2.9068e-02
1.4850e+01,7.0006e-02,6.9359e-02,2.8873e-02
1.4900e+01,6.9624e-02,6.8895e-02,2.8679e-02
1.4950e+01,6.9209e-02,6.8435e-02,2.8488e-02
