#wavelength = 0.3494
#qmax = 15.0
#qmin = 0
#Qdamp = 0.04373
#Lorch = off
#Q, intensity(inelacstic), <f^2>, <f>^2
#
1.6250e+01,5.8654e-02,5.6393e-02,2.3890e-02
1.6300e+01,5.8248e-02,5.6005e-02,2.3737e-02
1.6350e+01,5.7800e-02,5.5620e-02,2.3584e-02
1.6400e+01,5.7305e-02,5.5238e-02,2.3433e-02
1.6450e+01,5.6879e-02,5.4858e-02,2.3283e-02
1.6500e+01,5.6353e-02,5.4480e-02,2.3135e-02
1.6550e+01,5.5864e-02,5.4105e-02,2.2987e-02
1.6600e+01,5.5358e-02,5.3732e-02,2.2840e-02
1.6650e+01,5.4789e-02,5.3362e-02,2.2695e-02
1.6700e+01,5.4244e-02,5.2994e-02,2.2551e-02
1.6750e+01,5.3686e-02,5.2629e-02,2.2408e-02
1.6800e+01,5.3116e-02,5.2266e-02,2.2265e-02
1.6850e+01,5.2546e-02,5.1905e-02,2.2124e-02
1.6900e+01,5.1927e-02,5.1546e-02,2.1984e-02
1.6950e+01,5.1277e-02,5.1190e-02,2.1846e-02
1.7000e+01,5.0632e-02,5.0836e-02,2.1708e-02
